model,reward,n_configs,base_parse_rate,guided_parse_rate,base_uniqueness,guided_uniqueness,guided_top10_score,delivered_frac,argmax_flip_rate,sample_flip_rate,geom_best_of_10k_top10,published_reinvent_smiles,published_chembl_best_of_dataset
Quetzal,nitrogen,8,,0.9350749999999999,0.9976298211592329,0.9955755248485398,0.5981491065183099,1.0,0.01899722293553166,0.019403818006901268,0.4781704993056809,,
Quetzal,osim,8,,0.93215,0.9976298211592329,0.9952572586245498,0.7919640997142404,1.0,0.01075137557770636,0.013670303037825463,0.8123855487729802,0.837,0.839
Quetzal,peri,8,,0.928475,0.9976298211592329,0.9978727984455763,0.4570273301408412,1.0,0.007190420299368142,0.0063906432986734225,0.4735918993774585,0.537,0.575
Quetzal,fexo,8,,0.9294749999999999,0.9981655599302659,0.9942647806424677,0.7091668993641733,1.0,0.011287750256485625,0.009674419431243891,0.7100072229899868,0.784,0.817
MolGPT,nitrogen,4,0.25356666666666666,0.287,0.995922760450436,0.9978423263527366,0.6207141083237182,1.0,0.039652245207349564,0.046336044366581196,0.4781704993056809,,
MolGPT,osim,4,0.25379999999999997,0.26331666666666664,0.9963992161454891,0.9969720755252158,0.7724158660314924,1.0,0.028811979595704116,0.026122216936803142,0.8123855487729802,0.837,0.839
MolGPT,peri,4,0.25533333333333336,0.2655166666666667,0.9950310850170577,0.9969598901441457,0.4001022226873712,1.0,0.011433908412711302,0.019809686239475894,0.4735918993774585,0.537,0.575
MolGPT,fexo,4,0.2521,0.2599,0.9960837818278911,0.9958421166356577,0.6511003130412649,1.0,0.02342085213846767,0.02026700390218623,0.7100072229899868,0.784,0.817
G2PT,nitrogen,4,0.22651666666666667,0.22711666666666666,1.0,1.0,0.30844437909430245,0.0,0.0,0.01256065846269337,0.4781704993056809,,
G2PT,osim,4,0.22526666666666664,0.22788333333333335,1.0,1.0,0.7472590400678747,0.0,0.0,0.03688436687310652,0.8123855487729802,0.837,0.839
G2PT,peri,4,0.22535,0.23603333333333334,1.0,0.999931917211329,0.39857853915682284,0.0,0.0,0.02467224322367892,0.4735918993774585,0.537,0.575
G2PT,fexo,4,0.22643333333333332,0.23143333333333335,0.9999282227964399,1.0,0.6618074021231455,0.0,0.0,0.03254108689240998,0.7100072229899868,0.784,0.817
